COD_EMPRESA;COD_FILIAL;PORTE;B_SOCIO;B_PEDIDO_DEMISSAO;QNT_MESES_ASSOC;PAGO_EM_DIA;PAGO_EM_DIA_POSTERGADO;PAGO_EM_ATRASO;EM_ABERTO;CAT_CARGO1;CAT_CARGO2;CAT_CARGO3;GRUPO1;GRUPO2;GRUPO3;GRUPO4;GRUPO5;GRUPO6;GRUPO7;GRUPO8;GRUPO9;GRUPO10;GRUPO11;TOTAL_PART_EVENTOS;MESES_SEM_PART
P |01|01||35542612|0001|;P |01|01|01|;P;1;0;6;7;3;0;1;1;0;10;1;1;0;0;0;8;1;0;0;0;0;11;1
P |01|01||00000898|0001|;P |01|01|01|;M;1;0;6;1;0;0;0;1;3;4;1;4;0;0;0;3;0;0;0;0;0;8;1
P |01|01||00000899|0001|;P |01|01|07|;M;0;1;6;0;0;4;3;0;0;6;0;0;0;0;0;6;0;0;0;0;0;6;0
P |01|01||00000900|0001|;P |01|01|04|;P;1;0;6;5;3;2;1;10;0;2;0;7;2;0;0;3;0;0;0;0;0;12;1
P |01|01||00000901|0001|;P |01|01|04|;M;0;1;6;4;1;2;2;1;0;2;1;0;0;0;2;0;0;0;0;0;0;3;2
P |01|01||00000923|0001|;P |01|01|03|;M;0;1;6;7;2;0;1;1;2;1;0;0;0;0;4;0;0;0;0;0;0;4;2
P |01|01||00000924|0001|;P |01|01|15|;P;1;0;6;0;0;4;2;10;0;0;1;5;0;0;0;3;1;0;0;0;0;10;1
P |01|01||04236718|0001|;P |01|01|08|;P;1;0;6;7;3;0;1;4;0;0;1;2;1;0;0;0;0;0;0;0;0;4;3
P |01|01||00000909|0001|;P |01|01|07|;P;0;1;2;0;0;3;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0
P |01|01||00000910|0001|;P |01|01|03|;M;0;1;6;0;0;40;2;2;1;16;0;0;0;0;2;17;0;0;0;0;0;19;0
P |01|01||00000911|0001|;P |01|01|08|;M;1;0;6;3;0;0;0;3;10;8;5;10;0;2;0;0;4;0;0;0;0;21;1
P |01|01||00000912|0001|;P |01|01|14|;P;1;0;6;5;2;3;1;3;10;19;2;7;1;0;1;21;0;0;0;0;0;32;1
P |01|01||09979053|798|;P |01|01|01|;P;1;0;6;1;0;1;0;0;3;0;1;1;0;0;0;1;0;0;0;0;0;3;1
P |01|01||00000913|0001|;P |01|01|03|;M;1;0;6;5;0;0;0;26;19;64;6;13;5;23;0;51;11;0;0;0;0;109;0
P |01|01||00000914|0001|;P |01|01|04|;M;1;0;6;7;3;0;1;13;3;11;4;9;1;3;3;6;0;0;0;1;0;27;0
P |01|01||00000920|0001|;P |01|01|03|;P;1;0;6;3;1;5;2;0;0;41;0;7;0;0;4;23;7;0;0;0;0;41;0
P |01|01||17542378|0001|;P |01|01|01|;M;1;0;6;5;2;3;1;1;3;12;0;3;0;0;0;13;0;0;0;0;0;16;0
P |01|01||00000915|0001|;P |01|01|07|;P;0;1;3;0;0;4;0;2;0;3;2;0;0;0;0;2;1;0;0;0;0;5;0
P |01|01||07071575|0001|;P |01|01|01|;P;1;0;6;7;3;0;1;0;1;3;0;0;0;0;0;2;2;0;0;0;0;4;0
P |01|01||00000916|0001|;P |01|01|05|;P;0;1;6;0;2;6;1;6;0;0;0;2;0;0;0;4;0;0;0;0;0;6;7
P |01|01||00000917|0001|;P |01|01|08|;P;0;1;6;5;2;0;1;3;0;1;1;2;0;0;1;0;0;0;0;0;0;4;2
P |01|01||00000918|0001|;P |01|01|05|;P;1;0;6;4;0;0;0;7;1;5;1;3;0;0;0;4;5;0;0;0;0;13;1
P |01|01||00000919|0001|;P |01|01|14|;P;1;0;6;5;3;0;1;13;2;17;1;6;2;1;0;22;0;0;0;0;0;32;2
P |01|01||00000922|0001|;P |01|01|13|;P;0;1;6;4;0;4;1;9;0;0;0;2;0;0;2;4;1;0;0;0;0;9;0
P |01|01||00000981|0001|;P |01|01|07|;P;0;1;6;2;0;3;2;17;0;5;6;3;0;2;1;10;0;0;0;0;0;22;1
P |01|01||00000982|0001|;P |01|01|01|;M;1;0;6;1;0;0;0;1;6;28;1;2;0;6;0;22;4;0;0;0;0;35;0
P |01|01||15122713|0001|;P |01|01|01|;P;0;1;6;0;0;7;0;11;0;1;1;2;0;0;1;6;2;0;0;0;0;12;0
P |01|01||00000983|0001|;P |01|01|07|;P;0;1;6;4;3;1;1;8;1;1;1;0;1;2;1;4;1;0;0;0;0;10;0
P |01|01||00000984|0001|;P |01|01|05|;P;1;0;6;2;0;0;0;0;0;21;2;1;1;0;13;4;0;0;0;0;0;21;2
P |01|01||00000986|0001|;P |01|01|09|;P;1;0;6;0;0;0;2;0;0;24;12;0;0;0;0;12;0;0;0;0;0;24;4
P |01|01||00000999|0001|;P |01|01|01|;M;1;0;6;1;0;0;0;2;23;52;1;12;0;0;0;44;20;0;0;0;0;77;0
P |01|01||00001000|0001|;P |01|01|07|;P;0;1;6;7;0;1;0;4;0;8;0;5;1;0;1;5;0;0;0;0;0;12;0
P |01|01||00001006|0001|;P |01|01|04|;P;1;0;6;0;0;10;2;11;0;0;1;8;1;0;1;0;0;0;0;0;0;11;0
P |01|01||00001002|0001|;P |01|01|05|;P;1;0;6;1;1;7;1;18;0;2;0;2;1;1;3;10;3;0;0;0;0;20;0
P |01|01||00001004|0001|;P |01|01|06|;M;1;0;6;5;2;2;0;18;2;9;1;6;4;1;1;16;0;0;0;0;0;29;0
P |01|01||00001030|0001|;P |01|01|07|;P;0;1;6;3;1;2;2;6;1;4;0;3;0;1;1;4;2;0;0;0;0;11;0
P |01|01||00001031|0001|;P |01|01|10|;P;0;1;6;1;2;4;1;9;0;0;2;0;0;0;0;7;0;0;0;0;0;9;0
P |01|01||00001036|0001|;P |01|01|03|;M;1;0;6;2;0;1;1;2;0;10;1;2;0;0;3;5;1;0;0;0;0;12;3
P |01|01||00001033|0001|;P |01|01|14|;P;1;0;6;3;0;2;1;27;0;31;2;13;7;4;2;29;0;0;0;1;0;58;1
P |01|01||00001034|0001|;P |01|01|05|;M;1;0;6;1;0;0;0;0;5;5;0;3;0;0;1;4;1;0;0;1;0;10;0
P |01|01||00001035|0001|;P |01|01|06|;P;1;0;6;1;0;3;4;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;8
P |01|01||03041997|0001|;P |01|01|08|;M;1;0;6;5;3;0;1;1;4;0;0;3;1;0;0;0;1;0;0;0;0;5;0
P |01|01||XXXXX011|0001|;P |01|01|08|;M;1;0;6;5;3;0;1;14;7;16;2;20;5;2;0;6;2;0;0;0;0;37;0
P |01|01||53296273|0001|;P |01|01|01|;M;1;0;6;1;0;2;0;2;7;13;1;2;1;0;0;11;7;0;0;0;0;22;0
P |01|01||XXXXX003|0001|;P |01|01|03|;P;0;1;1;1;2;3;0;1;0;3;0;1;0;0;0;2;1;0;0;0;0;4;0
P |01|01||XXXXX004|0001|;P |01|01|07|;P;0;1;6;3;1;0;3;14;0;3;0;3;0;1;3;9;1;0;0;0;0;17;0
P |01|01||XXXXX005|0001|;P |01|01|04|;M;0;1;6;2;0;2;3;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
P |01|01||XXXXX006|0001|;P |01|01|10|;M;1;0;6;6;1;2;1;5;0;36;4;4;0;0;0;32;1;0;0;0;0;41;1
